Stofnaam,KRW status,CAS-nummer,EG-nummer,Aquo-code,SIKB-id,Categorie,Compartiment,Norm,Waarde,Eenheid,Normwaardestatus.code,Normwaardestatus.omschrijving,Achtergrondconcentratie.code,Achtergrondconcentratie.omschrijving,Toelichtende voetnoot 1,Toelichtende voetnoot 2,Toelichtende voetnoot 3,Norm.code,Norm.omschrijving,Normsubgroup.code,Normsubgroup.omschrijving,Compartiment.code,Compartiment.omschrijving,Compartimentsubgroep.code,Compartimentsubgroep.omschrijving,Grootheid.code,Grootheid.omschrijving,Hoedanigheid.code,Hoedanigheid.omschrijving,Waardebewerkingsmethode.code ,Waardebewerkingsmethode.omschrijving,Geldigheid.begindatum,Geldigheid.einddatum,Column1
bis(2-ethylhexyl)ftalaat,Prioritaire stoffen,117-81-7,204-211-0,DEHP,382,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"1,30E+00",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
C10-13-chlooralkanen ,Prioritaire stoffen,85535-84-8,287-476-5,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,4",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
C10-13-chlooralkanen ,Prioritaire stoffen,85535-84-8,287-476-5,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"1,4",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
cadmium,Prioritaire stoffen,7440-43-9,231-152-8,Cd,441,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (opgelost),"0,08",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.","Voor cadmium en zijn verbindingen zijn de richtwaarden afhankelijk van de hardheid van het water: klasse 1 (< 40 mg CaCO3/l): JG-MKN ? 0,08 µg/l, klasse 2 (40 tot < 50 mg CaCO3/l): JG-MKN = 0,08 µg/l, klasse 3 (50 tot < 100 mg CaCO3/l): JG-MKN = 0,09 µg/l, klasse 4 (100 tot < 200 mg CaCO3/l): JG-MKN = 0,15 µg/l en klasse 5 (?200 mg CaCO3/l): JG-MKN = 0,25 µg/l",,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),JGM,Jaargemiddelde,,,
cadmium,Prioritaire stoffen,7440-43-9,231-152-8,Cd,441,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (opgelost),"0,45",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.","Voor cadmium en zijn verbindingen zijn de richtwaarden afhankelijk van de hardheid van het water: klasse 1 (< 40 mg CaCO3/l): MAC-MKN ? 0,45 µg/l, klasse 2 (40 tot < 50 mg CaCO3/l): MAC-MKN = 0,45 µg/l, klasse 3 (50 tot < 100 mg CaCO3/l): MAC-MKN = 0,6 µg/l, klasse 4 (100 tot < 200 mg CaCO3/l): MAC-MKN = 0,9 µg/l en klasse 5 (?200 mg CaCO3/l): MAC-MKN = 1,5 µg/l",,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),MAX,Maximum,,,
chloorfenvinfos,Prioritaire stoffen,470-90-6,207-432-0,Clfvfs,487,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,1",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
chloorfenvinfos,Prioritaire stoffen,470-90-6,207-432-0,Clfvfs,487,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,3",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
chloorpyrifos,Prioritaire stoffen,2921-88-2,220-864-4,C2yClprfs,494,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,03",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
chloorpyrifos,Prioritaire stoffen,2921-88-2,220-864-4,C2yClprfs,494,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,1",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
chryseen,Prioritaire stoffen,218-01-9,205-923-4,Chr,518,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0029",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
